GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jpacrud,com.training.jpacrud,JpacrudApplication,5,3,0,0,2,1,1,1,1,1
jpacrud,com.training.jpacrud.Controller,TrainingController,0,127,0,4,0,27,0,9,0,7
jpacrud,com.training.jpacrud.Controller,HomeController,8,0,0,0,2,0,2,0,2,0
jpacrud,com.training.jpacrud.Service,TrainingServiceImpl,15,16,0,0,2,4,2,3,2,3
jpacrud,com.training.jpacrud.Model,Training,66,238,13,13,4,54,14,24,1,24
